iter	Passed	Remaining
0	145	145186
1	148	73930
2	149	49827
3	159	39790
4	161	32188
5	163	27067
6	171	24360
7	173	21464
8	175	19328
9	177	17538
10	178	16069
11	184	15150
12	185	14117
13	187	13196
14	189	12466
15	191	11752
16	192	11128
17	193	10576
18	197	10195
19	199	9755
20	200	9359
21	202	9008
22	204	8665
23	205	8344
24	206	8049
25	209	7857
26	211	7628
27	213	7395
28	214	7183
29	215	6980
30	217	6787
31	218	6606
32	219	6436
33	221	6305
34	223	6172
35	225	6027
36	226	5897
37	227	5771
38	253	6250
39	258	6199
40	260	6084
41	261	5974
42	263	5873
43	265	5778
44	267	5680
45	269	5588
46	271	5507
47	278	5529
48	280	5453
49	282	5367
50	284	5289
51	285	5209
52	287	5135
53	288	5060
54	290	4990
55	292	4932
56	293	4862
57	295	4806
58	297	4743
59	300	4713
60	302	4655
61	312	4734
62	316	4700
63	317	4639
64	318	4584
65	319	4526
66	321	4473
67	322	4418
68	323	4365
69	326	4334
70	327	4290
71	328	4239
72	329	4190
73	330	4141
74	331	4093
75	333	4048
76	334	4007
77	335	3963
78	336	3919
79	338	3888
80	341	3873
81	344	3856
82	345	3814
83	347	3791
84	350	3768
85	351	3737
86	355	3729
87	358	3710
88	359	3676
89	360	3647
90	362	3616
91	363	3588
92	365	3559
93	366	3532
94	367	3503
95	369	3483
96	371	3456
97	372	3427
98	373	3399
99	374	3373
100	376	3347
101	377	3323
102	378	3298
103	380	3276
104	381	3252
105	382	3229
106	385	3217
107	386	3195
108	388	3173
109	389	3150
110	390	3129
111	392	3108
112	393	3087
113	394	3066
114	395	3045
115	396	3024
116	397	3003
117	399	2985
118	400	2966
119	401	2946
120	403	2927
121	404	2910
122	405	2893
123	407	2875
124	408	2856
125	409	2839
126	410	2819
127	411	2802
128	414	2800
129	416	2784
130	417	2767
131	418	2750
132	419	2734
133	420	2717
134	421	2701
135	422	2684
136	423	2668
137	424	2652
138	425	2636
139	426	2622
140	429	2616
141	430	2599
142	431	2584
143	432	2569
144	433	2555
145	434	2541
146	435	2527
147	436	2514
148	437	2500
149	439	2488
150	440	2476
151	441	2464
152	443	2455
153	444	2443
154	445	2430
155	447	2420
156	448	2410
157	449	2398
158	451	2386
159	452	2374
160	453	2360
161	454	2350
162	455	2339
163	456	2328
164	459	2327
165	461	2316
166	462	2307
167	463	2296
168	464	2285
169	465	2274
170	467	2264
171	468	2253
172	469	2246
173	471	2236
174	474	2235
175	475	2225
176	476	2216
177	477	2206
178	478	2196
179	479	2186
180	480	2176
181	482	2166
182	483	2157
183	484	2148
184	485	2138
185	486	2129
186	489	2128
187	490	2120
188	492	2112
189	493	2103
190	494	2094
191	495	2085
192	496	2077
193	497	2068
194	499	2060
195	500	2051
196	501	2043
197	504	2041
198	505	2034
199	506	2026
200	507	2018
201	508	2010
202	509	2002
203	511	1994
204	512	1986
205	513	1979
206	514	1971
207	515	1963
208	520	1970
209	521	1963
210	522	1955
211	524	1947
212	525	1940
213	526	1932
214	527	1925
215	528	1917
216	529	1909
217	530	1901
218	531	1893
219	533	1892
220	535	1886
221	536	1879
222	537	1872
223	538	1865
224	539	1858
225	540	1852
226	541	1845
227	542	1838
228	544	1831
229	545	1825
230	547	1822
231	549	1817
232	550	1810
233	551	1804
234	552	1797
235	553	1790
236	554	1784
237	555	1778
238	556	1772
239	557	1765
240	558	1759
241	559	1753
242	560	1746
243	562	1742
244	563	1737
245	564	1731
246	565	1725
247	566	1719
248	568	1713
249	569	1707
250	570	1701
251	571	1695
252	572	1689
253	573	1683
254	574	1677
255	575	1671
256	578	1671
257	579	1666
258	580	1661
259	581	1655
260	583	1650
261	584	1645
262	585	1639
263	586	1634
264	587	1629
265	588	1623
266	589	1618
267	590	1613
268	592	1610
269	593	1605
270	594	1600
271	595	1594
272	597	1590
273	598	1585
274	599	1580
275	600	1575
276	601	1569
277	602	1564
278	603	1560
279	605	1556
280	608	1556
281	609	1551
282	610	1546
283	611	1542
284	613	1537
285	614	1533
286	615	1528
287	616	1523
288	617	1519
289	618	1514
290	620	1510
291	623	1510
292	624	1506
293	625	1501
294	626	1497
295	627	1492
296	628	1487
297	629	1483
298	630	1478
299	631	1474
300	633	1470
301	634	1465
302	635	1461
303	636	1458
304	638	1453
305	639	1449
306	640	1445
307	641	1441
308	642	1437
309	643	1432
310	644	1428
311	645	1424
312	646	1419
313	648	1416
314	649	1412
315	650	1408
316	652	1406
317	653	1402
318	655	1398
319	656	1394
320	657	1390
321	658	1386
322	659	1382
323	660	1378
324	661	1374
325	663	1370
326	664	1367
327	665	1363
328	667	1360
329	668	1356
330	669	1352
331	670	1348
332	671	1344
333	672	1340
334	673	1336
335	674	1333
336	675	1329
337	676	1325
338	677	1321
339	679	1318
340	681	1316
341	682	1312
342	683	1309
343	684	1305
344	685	1302
345	687	1298
346	688	1295
347	689	1291
348	690	1287
349	691	1284
350	692	1280
351	693	1276
352	694	1272
353	696	1271
354	698	1268
355	699	1264
356	700	1261
357	701	1257
358	702	1254
359	703	1250
360	704	1246
361	705	1243
362	706	1240
363	707	1236
364	708	1233
365	710	1230
366	711	1227
367	712	1224
368	714	1221
369	715	1217
370	716	1214
371	717	1211
372	718	1208
373	719	1204
374	720	1201
375	721	1197
376	722	1194
377	723	1191
378	726	1190
379	727	1186
380	729	1184
381	730	1181
382	731	1178
383	732	1175
384	733	1171
385	734	1168
386	735	1165
387	736	1161
388	737	1158
389	738	1154
390	739	1151
391	741	1149
392	742	1146
393	743	1143
394	744	1140
395	745	1137
396	746	1134
397	748	1131
398	749	1128
399	750	1125
400	751	1121
401	752	1118
402	752	1115
403	754	1113
404	756	1111
405	757	1108
406	758	1105
407	759	1101
408	760	1098
409	761	1096
410	762	1093
411	763	1090
412	764	1086
413	765	1083
414	766	1080
415	767	1077
416	771	1077
417	772	1075
418	773	1072
419	774	1069
420	775	1066
421	776	1063
422	777	1060
423	778	1057
424	779	1054
425	780	1051
426	781	1048
427	782	1045
428	783	1042
429	785	1040
430	786	1037
431	787	1035
432	788	1032
433	789	1030
434	790	1027
435	792	1024
436	793	1021
437	794	1019
438	795	1016
439	796	1013
440	797	1011
441	800	1010
442	801	1007
443	802	1004
444	804	1002
445	805	1000
446	806	997
447	807	995
448	808	992
449	809	989
450	811	987
451	812	985
452	815	985
453	816	982
454	818	980
455	819	977
456	820	975
457	821	972
458	822	969
459	824	967
460	825	964
461	826	962
462	827	959
463	829	958
464	830	955
465	832	953
466	833	951
467	834	948
468	835	946
469	837	943
470	838	941
471	839	939
472	840	936
473	841	934
474	843	932
475	845	930
476	846	928
477	847	925
478	849	923
479	850	921
480	851	918
481	852	916
482	853	913
483	854	911
484	856	908
485	857	907
486	859	905
487	860	903
488	862	900
489	863	898
490	864	896
491	865	893
492	866	891
493	868	889
494	869	886
495	870	884
496	871	881
497	873	880
498	875	878
499	876	876
500	877	874
501	879	872
502	880	870
503	881	867
504	883	865
505	884	863
506	885	860
507	886	858
508	887	856
509	889	854
510	890	852
511	891	849
512	892	847
513	894	845
514	895	842
515	896	840
516	897	838
517	898	835
518	899	833
